max_depth,learning_rate,n_estimators,subsample,colsample_bytree,Accuracy,Recall,F1,Time
3,0.01,50,0.6,0.6,0.6753246753246753,0.0625,0.11764705882352941,0.194563627243042
3,0.01,50,0.6,0.8,0.7056277056277056,0.2125,0.3333333333333333,0.03793191909790039
3,0.01,50,0.6,1.0,0.7186147186147186,0.2625,0.3925233644859813,0.037223100662231445
3,0.01,50,0.8,0.6,0.6753246753246753,0.075,0.13793103448275862,0.037004947662353516
3,0.01,50,0.8,0.8,0.7056277056277056,0.225,0.34615384615384615,0.051451683044433594
3,0.01,50,0.8,1.0,0.7186147186147186,0.275,0.4036697247706422,0.040107011795043945
3,0.01,50,1.0,0.6,0.6796536796536796,0.1,0.17777777777777778,0.04336261749267578
3,0.01,50,1.0,0.8,0.7012987012987013,0.225,0.34285714285714286,0.03830981254577637
3,0.01,50,1.0,1.0,0.7229437229437229,0.2875,0.41818181818181815,0.040222883224487305
3,0.01,100,0.6,0.6,0.7445887445887446,0.3875,0.512396694214876,0.06882095336914062
3,0.01,100,0.6,0.8,0.7619047619047619,0.525,0.60431654676259,0.07077693939208984
3,0.01,100,0.6,1.0,0.7575757575757576,0.525,0.6,0.07315802574157715
3,0.01,100,0.8,0.6,0.7316017316017316,0.3625,0.48333333333333334,0.06627297401428223
3,0.01,100,0.8,0.8,0.7662337662337663,0.5125,0.6029411764705882,0.06969285011291504
3,0.01,100,0.8,1.0,0.7575757575757576,0.525,0.6,0.07114338874816895
3,0.01,100,1.0,0.6,0.7359307359307359,0.4125,0.5196850393700787,0.06375455856323242
3,0.01,100,1.0,0.8,0.7619047619047619,0.4875,0.5864661654135338,0.07092142105102539
3,0.01,100,1.0,1.0,0.7619047619047619,0.525,0.60431654676259,0.06934261322021484
3,0.01,200,0.6,0.6,0.7662337662337663,0.575,0.6301369863013698,0.12736797332763672
3,0.01,200,0.6,0.8,0.7662337662337663,0.6,0.64,0.1339588165283203
3,0.01,200,0.6,1.0,0.7489177489177489,0.6,0.6233766233766234,0.1377248764038086
3,0.01,200,0.8,0.6,0.7619047619047619,0.5625,0.6206896551724138,0.12207317352294922
3,0.01,200,0.8,0.8,0.7619047619047619,0.5875,0.6308724832214765,0.17381691932678223
3,0.01,200,0.8,1.0,0.7575757575757576,0.6,0.631578947368421,0.13225221633911133
3,0.01,200,1.0,0.6,0.7792207792207793,0.575,0.6433566433566433,0.1213076114654541
3,0.01,200,1.0,0.8,0.7705627705627706,0.625,0.6535947712418301,0.1420750617980957
3,0.01,200,1.0,1.0,0.7575757575757576,0.6,0.631578947368421,0.14807534217834473
3,0.05,50,0.6,0.6,0.7705627705627706,0.5875,0.6394557823129252,0.04002666473388672
3,0.05,50,0.6,0.8,0.7662337662337663,0.625,0.6493506493506493,0.03708815574645996
3,0.05,50,0.6,1.0,0.7792207792207793,0.6625,0.6751592356687898,0.04201650619506836
3,0.05,50,0.8,0.6,0.7792207792207793,0.6,0.6530612244897959,0.03850221633911133
3,0.05,50,0.8,0.8,0.7532467532467533,0.6,0.6274509803921569,0.04177999496459961
3,0.05,50,0.8,1.0,0.7489177489177489,0.625,0.6329113924050633,0.04231429100036621
3,0.05,50,1.0,0.6,0.7792207792207793,0.625,0.6622516556291391,0.03913593292236328
3,0.05,50,1.0,0.8,0.7619047619047619,0.625,0.6451612903225806,0.038690805435180664
3,0.05,50,1.0,1.0,0.7619047619047619,0.625,0.6451612903225806,0.04978442192077637
3,0.05,100,0.6,0.6,0.7489177489177489,0.625,0.6329113924050633,0.06700825691223145
3,0.05,100,0.6,0.8,0.7619047619047619,0.6625,0.6583850931677019,0.06409478187561035
3,0.05,100,0.6,1.0,0.7489177489177489,0.65,0.6419753086419753,0.06579113006591797
3,0.05,100,0.8,0.6,0.7532467532467533,0.65,0.6459627329192547,0.06722116470336914
3,0.05,100,0.8,0.8,0.7489177489177489,0.65,0.6419753086419753,0.07026314735412598
3,0.05,100,0.8,1.0,0.7532467532467533,0.65,0.6459627329192547,0.07069516181945801
